
C:\Users\User\python\AutomaticVerification\LTL2CTL>c:\Users\User\AppData\Local\Programs\Python\Python35-32\python.exe proc_model.py 2 4 * 
Starting Test : Starvation : LTL
Time: 1535874074.1322708
Model generated
Testing Formula: ~[[[_]|[~[_]]]U[~[[~[[o]&[w]]]|[[[_]|[~[_]]]U[[o]&[~[w]]]]]]]
BDD nodes before: 390
BDD nodes tableau: 1830
Starting SCC decomposition (1535874078.0630426)
Found an SCC 1 (1535874892.5832582)
Found an SCC 2 (1535874894.1603544)
Found an SCC 3 (1535874899.3453913)
Found an SCC 4 (1535874900.8455515)
Found an SCC 5 (1535874901.6620853)
Found an SCC 6 (1535874903.96475)
Found an SCC 7 (1535874908.5421329)
Found an SCC 8 (1535874909.3516684)
Found an SCC 9 (1535874910.4730465)
Found an SCC 10 (1535874920.2884173)
Found an SCC 11 (1535874924.8438098)
Found an SCC 12 (1535874926.1670723)
Found an SCC 13 (1535874926.978608)
Found an SCC 14 (1535874933.8076825)
Found an SCC 15 (1535874935.1069605)
Found an SCC 16 (1535874935.9454808)
Found an SCC 17 (1535874941.4383402)
Found an SCC 18 (1535874942.2378821)
Found an SCC 19 (1535874943.3672366)
Found an SCC 20 (1535874944.1837695)
Found an SCC 21 (1535878281.2445428)
Found an SCC 22 (1535878683.0837605)
Found an SCC 23 (1535878684.0981615)
Found an SCC 24 (1535878689.5740476)
Found an SCC 25 (1535878690.6694217)
Found an SCC 26 (1535878692.2085252)
Found an SCC 27 (1535878695.7215135)
Found an SCC 28 (1535878702.018932)
Found an SCC 29 (1535878703.1432693)
Found an SCC 30 (1535878705.2850645)
Found an SCC 31 (1535878712.7218118)
Found an SCC 32 (1535878714.8805773)
Found an SCC 33 (1535878716.7085147)
Found an SCC 34 (1535878720.3594441)
Found an SCC 35 (1535878721.931546)
Found an SCC 36 (1535878727.6972306)
Found an SCC 37 (1535878730.1038723)
Found an SCC 38 (1535878731.798883)
Found an SCC 39 (1535878733.3859954)
Found an SCC 40 (1535878734.7771811)
Found an SCC 41 (1535878736.3432844)
Found an SCC 42 (1535878744.047898)
Found an SCC 43 (1535878745.154266)
Found an SCC 44 (1535878746.2546368)
Found an SCC 45 (1535878754.011183)
Found an SCC 46 (1535878755.1355586)
Found an SCC 47 (1535878756.6716795)
